## Application Architecture

**AA1** — **Monolith:** A single, unified codebase and deployment unit. **Microservices:** A collection of small, independent services communicating over a network. **Problems:** 1. Distributed data consistency (no ACID across services), 2. Increased operational complexity (deployment/monitoring of $N$ services), 3. Network latency and partial failure handling.

**AA2** — **Synchronous:** Caller waits for a response (Request/Response). Example: REST/HTTP or gRPC. **Asynchronous:** Caller sends a message and continues without waiting for an immediate result. Example: RabbitMQ or Apache Kafka.

**AA3** — **Reverse Proxy:** Focuses on routing, load balancing, and SSL termination. **API Gateway:** A specialized reverse proxy that adds "API management" features (authentication, rate limiting, request transformation, orchestration). An API Gateway can replace a reverse proxy, but a simple reverse proxy cannot provide the high-level business logic/governance of a gateway.

**AA4** — **Saga Pattern:** Manages distributed transactions via a sequence of local transactions with compensating transactions for rollbacks. **Choreography:** Services exchange events; each service knows what to do when it sees an event (decentralized). **Orchestration:** A central "orchestrator" tells services when to execute their local transactions (centralized). Choreography is better for simple flows; Orchestration is better for complex, long-running business processes.

**AA5** — **CQRS:** Separates the model for updating data (Command) from the model for reading data (Query). **Event Sourcing:** Stores the state as a sequence of immutable events rather than current state. **Combination:** Event Sourcing provides the "source of truth" (events), and CQRS creates optimized "read views" from those events. This solves the problem of complex queries on high-write data and provides a perfect audit trail.

**AA6** — **Circuit Breaker:** Prevents a service from repeatedly trying to call a failing downstream service. **States:** Closed (traffic flows), Open (fails fast immediately), Half-Open (tests if service has recovered). **Difference:** A retry with backoff still attempts the call; a circuit breaker stops the call entirely to allow the downstream service to recover. Use both to handle transient blips (retry) and systemic outages (circuit breaker).

**AA7** — **Isolation Models:**
1. **Shared DB/Schema:** Lowest cost, lowest security, highest noisy-neighbor risk.
2. **Shared DB/Sep Schema:** Medium cost, better security (schema-level permissions), medium noisy-neighbor risk.
3. **Separate DB:** Highest cost, highest security, lowest noisy-neighbor risk.

**AA8** — **Eventual:** Data will be consistent "eventually" across all nodes. **Strong:** All reads return the most recent write. **Inventory Architecture:** Use **Strong Consistency**. Use a relational database (PostgreSQL/SQL Server) with ACID transactions. At scale, use **Distributed Locking** (via Redis/Zookeeper) or a **Saga pattern** with a reservation phase to "lock" inventory before finalizing the order.

**AA9** — **Sidecar:** A helper process deployed alongside the application container. **Envoy/Istio:** Envoy is the **Data Plane** (handles actual traffic); Istio is the **Control Plane** (manages Envoy configurations). **mTLS:** Solves identity and encryption between services automatically, removing the need for the application to manage certificates or trust logic.

**AA10** — **Strangler Fig:** Incrementally replacing a monolith by wrapping it in a proxy. **Strategy:** 1. Identify a bounded context (e.g., "Payments"). 2. Build the "Payments" microservice in .NET 8. 3. Configure the API Gateway to route `/payments` to the new service and all other traffic to the .NET Framework monolith. 4. Repeat for other modules until the monolith is empty.

**AA11** — **12-Factor App:** A set of best practices for cloud-native apps. **Factors:** 1. Codebase (one per app), 2. Dependencies (explicitly declared), 3. Config (stored in environment), 4. Backing services (treated as attached resources), 5. Port binding (self-contained), 6. Stateless processes (share nothing). These ensure portability, scalability, and ease of deployment.

**AA12** — **Kafka (Event-driven):** Loose coupling, high scalability, complex debugging, guaranteed ordering per partition, failure handled via offsets. **REST/gRPC (Request-driven):** Tight coupling, lower latency for single requests, easier debugging, no native ordering, failure handled via timeouts/retries. **Choice:** Use REST/gRPC for immediate queries; use Kafka for asynchronous workflows and data pipelines.

