[22:14:01] 0, 0, 38, 7.35, 14224
1, 0, 36, 4.89, 14224
[22:14:31] 0, 35, 44, 49.65, 14226
1, 99, 42, 50.15, 14224
[22:15:03] 0, 32, 48, 49.03, 14226
1, 99, 45, 49.72, 14224
[22:15:33] 0, 35, 51, 51.54, 14226
1, 99, 49, 52.29, 14224
[22:16:04] 0, 34, 54, 52.26, 14226
1, 99, 52, 53.08, 14224
[22:16:35] 0, 35, 56, 54.06, 14226
1, 99, 49, 53.79, 14224
[22:17:06] 0, 36, 58, 55.17, 14226
1, 99, 47, 53.21, 14224
[22:17:37] 0, 35, 60, 55.67, 14226
1, 99, 46, 52.69, 14224
[22:18:08] 0, 35, 62, 57.18, 14226
1, 99, 45, 52.91, 14224
[22:18:38] 0, 35, 63, 57.36, 14226
1, 99, 45, 52.73, 14224
[22:19:09] 0, 36, 65, 58.66, 14226
1, 99, 45, 53.20, 14224
[22:19:40] 0, 36, 67, 59.04, 14226
1, 99, 45, 52.93, 14224
[22:20:11] 0, 38, 68, 59.11, 14226
1, 99, 45, 52.57, 14224
[22:20:42] 0, 36, 70, 60.15, 14226
1, 99, 45, 52.87, 14224
[22:21:13] 0, 36, 71, 59.38, 14226
1, 99, 46, 51.73, 14224
[22:21:44] 0, 35, 72, 62.42, 14226
1, 99, 46, 53.16, 14224
[22:22:15] 0, 38, 73, 62.79, 14226
1, 99, 46, 53.23, 14224
[22:22:46] 0, 35, 74, 62.63, 14226
1, 99, 46, 53.16, 14224
[22:23:17] 0, 30, 75, 62.73, 14226
1, 99, 47, 52.37, 14224
[22:23:48] 0, 36, 77, 65.13, 14226
1, 99, 47, 54.24, 14224
[22:24:19] 0, 35, 78, 65.13, 14226
1, 99, 47, 53.54, 14224
[22:24:50] 0, 36, 79, 66.83, 14226
1, 99, 47, 54.42, 14224
[22:25:21] 0, 36, 80, 66.78, 14226
1, 99, 48, 54.12, 14224
[22:25:52] 0, 37, 81, 67.12, 14226
1, 99, 48, 53.55, 14224
[22:26:23] 0, 36, 83, 68.86, 14226
1, 99, 48, 54.35, 14224
[22:26:54] 0, 31, 83, 68.74, 14226
1, 99, 48, 53.88, 14224
[22:27:25] 0, 36, 85, 70.52, 14226
1, 99, 49, 54.87, 14224
[22:27:56] 0, 37, 86, 72.38, 14226
1, 99, 49, 55.27, 14224
[22:28:27] 0, 36, 87, 68.25, 14226
1, 99, 49, 54.09, 14224
[22:28:58] 0, 37, 87, 68.60, 14226
1, 99, 49, 55.63, 14224
[22:29:29] 0, 36, 87, 70.28, 14228
1, 99, 50, 55.35, 14226
[22:30:00] 0, 37, 86, 67.07, 14228
1, 99, 50, 56.15, 14226
[22:30:31] 0, 36, 87, 66.79, 14228
1, 99, 50, 55.14, 14226
[22:31:02] 0, 39, 87, 65.86, 14228
1, 99, 50, 55.81, 14226
[22:31:33] 0, 38, 87, 65.11, 14228
1, 99, 50, 56.17, 14226
[22:32:04] 0, 39, 87, 65.36, 14228
1, 99, 50, 56.45, 14226
[22:32:35] 0, 41, 87, 64.81, 14228
1, 99, 50, 57.08, 14226
[22:33:06] 0, 45, 87, 63.38, 14228
1, 99, 51, 57.70, 14226
[22:33:37] 0, 40, 86, 63.14, 14228
1, 99, 50, 57.19, 14226
[22:34:08] 0, 39, 87, 64.49, 14228
1, 99, 50, 55.67, 14226
[22:34:39] 0, 37, 87, 63.76, 14228
1, 99, 50, 55.21, 14226
[22:35:10] 0, 38, 87, 63.40, 14228
1, 99, 51, 55.41, 14226
[22:35:41] 0, 38, 87, 64.14, 14228
1, 99, 50, 55.98, 14226
[22:36:12] 0, 40, 87, 62.88, 14228
1, 99, 50, 55.69, 14226
[22:36:43] 0, 38, 87, 63.06, 14228
1, 99, 51, 55.75, 14226
[22:37:14] 0, 40, 87, 63.08, 14228
1, 99, 51, 56.99, 14226
[22:37:45] 0, 34, 87, 62.95, 14228
1, 99, 50, 55.44, 14226
[22:38:16] 0, 35, 87, 62.27, 14228
1, 99, 51, 55.99, 14226
[22:38:47] 0, 40, 87, 62.53, 14228
1, 99, 51, 55.81, 14226
[22:39:18] 0, 41, 87, 62.41, 14228
1, 99, 51, 57.03, 14226
[22:39:49] 0, 30, 86, 62.22, 14228
1, 99, 51, 55.17, 14226
[22:40:20] 0, 44, 86, 65.16, 14228
1, 99, 51, 58.31, 14226
[22:40:51] 0, 99, 86, 62.95, 14228
1, 37, 50, 53.70, 14226
[22:41:22] 0, 99, 87, 62.89, 14228
1, 36, 51, 52.55, 14226
[22:41:53] 0, 99, 87, 62.91, 14228
