## Application Architecture

**AA1** — A monolith is a single codebase deployed as one unit with shared process, memory, and database. Microservices decompose the system into independently deployable, loosely coupled services with separate processes and databases. Microservices introduce: (1) network latency and partial failure handling, (2) distributed data consistency challenges, and (3) operational complexity (orchestration, CI/CD pipelines, distributed tracing, and service discovery).

**AA2** — Synchronous communication blocks the caller until a response is received, creating tight coupling and real-time dependencies (e.g., REST, gRPC). Asynchronous communication decouples sender and receiver; messages are queued and processed independently, improving resilience and scalability (e.g., RabbitMQ, Kafka).

**AA3** — A reverse proxy routes traffic, terminates TLS, and provides basic load balancing/WAF at L4/L7. An API Gateway adds business-layer features: rate limiting, auth/authorization, request/response transformation, analytics, and service versioning. An API Gateway can replace a reverse proxy functionally, but they are often layered: a lightweight reverse proxy (nginx/envoy) handles edge routing/SSL, while the API Gateway manages API-specific policies. Replacing entirely is possible but adds overhead and couples edge infrastructure to business logic.

**AA4** — A Saga manages distributed transactions by breaking them into local transactions with compensating actions for rollback. Choreography-based sagas use events to trigger the next step; they are decentralized and simple but hard to debug and modify. Orchestration-based sagas use a central coordinator that explicitly directs each step; they are easier to monitor, version, and modify, but introduce a coordination service that must be highly available. Use choreography for simple, stable workflows; orchestration for complex, frequently changing flows.

**AA5** — CQRS separates read and write models: commands modify state, queries read optimized projections. Event Sourcing stores state changes as an immutable event log. They are paired because CQRS reads are built by replaying events into optimized read models. This combination solves complex domain modeling, provides complete auditability/temporal queries, enables independent scaling of reads/writes, and eliminates race conditions common in traditional CRUD where reads and writes share the same schema and locking model.

**AA6** — A Circuit Breaker prevents cascading failures by failing fast when a downstream service is unhealthy. States: Closed (normal traffic), Open (failure threshold met, requests fail immediately), Half-Open (tests recovery with limited traffic). It differs from retry+backoff: retry attempts immediate recovery, while the circuit breaker stops overwhelming a failing service. Use both together: retry with exponential backoff for transient errors inside the Closed state; the circuit breaker opens when retries consistently fail, preventing resource exhaustion.

**AA7** — 
1. Shared DB/schema: Lowest cost, highest noisy-neighbor risk, complex row-level security, easiest ops.
2. Shared DB/separate schema: Moderate cost, better isolation/noisy-neighbor mitigation, moderate ops (per-schema backups/migrations).
3. Separate DB: Highest cost, maximum isolation/security, lowest noisy-neighbor risk, highest ops complexity (schema migrations, backup/restore per tenant, scaling).

**AA8** — Eventual consistency allows temporary read staleness; strong consistency guarantees immediate visibility of writes. For inventory oversell prevention: use strong consistency for stock counts. Architect with regional partitioning (each warehouse/SKU in a single authoritative DB like PostgreSQL with serializable isolation or pessimistic locking). At scale, use a reservation/hold pattern with idempotent order processing, optimistic concurrency control (version columns), and avoid cross-region synchronous writes. Reads can be eventually consistent via async replication.

**AA9** — A sidecar proxy co-locates with an app, intercepting all inbound/outbound traffic. In Istio, Envoy handles the data plane (routing, mTLS, metrics), while Istio’s control plane (Pilot, Citadel) pushes configuration via xDS. Data plane = traffic handling; control plane = configuration/management. mTLS between sidecars solves transparent encryption without app code changes, automatic certificate rotation, and service-to-service identity verification. Application-level TLS requires manual cert management, code changes, and doesn’t authenticate the service identity automatically.

**AA10** — The Strangler Fig pattern incrementally replaces functionality by routing new requests to new services while keeping the legacy system intact. Strategy: Deploy an API gateway. Identify bounded contexts. Build .NET 8 microservices for low-risk features. Route traffic via gateway to new services. Initially share the database (read-only or dual-write), then migrate data per service. Decommission old endpoints iteratively. Repeat until the monolith is fully replaced.

**AA11** — 12-Factor App methodology standardizes cloud-native apps. Six factors: (1) Codebase (one repo, many deploys), (2) Dependencies (explicitly declared/isolated), (3) Config (environment variables, separate from code), (4) Backing services (treated as attached resources), (5) Build/release/run (strictly separated stages), (6) Processes (stateless, scalable). They matter because they enable portability, automated deployments, resilience, horizontal scaling, and consistent dev/prod environments.

**AA12** — 
- Coupling: Event = loose (producer unaware of consumers); Request = tight (caller waits).
- Scalability: Event = high throughput, backpressure via queues; Request = limited by timeouts, harder to buffer.
- Debugging: Event = harder (async, distributed, requires replay); Request = easier (synchronous traces).
- Ordering: Event = partition-level guaranteed; Request = naturally ordered per call.
- Failure: Event = DLQs, idempotency, retries; Request = timeouts, circuit breakers.
Choose Event for high throughput, decoupled workflows, audit trails, and async processing. Choose Request for real-time responses, simple CRUD, and synchronous workflows.

**AA13** — A load balancer distributes traffic across backend servers. Layer 4 routes by IP/port (TCP/UDP), fast, no content inspection. Layer 7 routes by HTTP headers, URLs, cookies, and performs SSL termination. Layer 7 is required when routing `/api/v1` vs `/api/v2`, enforcing cookie-based session affinity, or terminating TLS at the edge.

**AA14** — Message queues (RabbitMQ) consume and remove messages, support complex routing/exchanges, and excel at task distribution and reliable delivery. Log-based brokers (Kafka) retain messages in append-only logs, support replay, partitioning, and high-throughput streaming. Pick RabbitMQ for task queues, work distribution, and lower throughput needs. Pick Kafka for event streaming, audit logs, data pipelines, and replayability.

**AA15** — Containers share the host kernel, use namespaces/cgroups for isolation, and are lightweight/fast to start. VMs run a full guest OS under a hypervisor, providing stronger isolation but higher overhead. Containers are popular for microservices because they enable consistent environments, efficient resource usage, immutable deployments, and rapid horizontal scaling.

**AA16** — Stateless services store no local session data; each request is independent. Stateful services maintain local session/state. Stateless services scale horizontally easily because instances are interchangeable; load balancers can route arbitrarily without session migration. Stateless example: REST API. Stateful example: PostgreSQL database, real-time game server.

**AA17** — An ORM maps objects to database tables and automates query generation. Examples: Entity Framework (.NET), Hibernate (Java), SQLAlchemy (Python). Trade-offs: ORMs accelerate development, enforce safety, and abstract schema changes, but can generate inefficient queries, complicate performance tuning, and obscure SQL logic. Raw SQL offers full control, predictable performance, and explicit optimization, but requires more boilerplate, careful injection prevention, and schema change management.

**AA18** — The Bulkhead pattern isolates resources (threads, connections, pools) per service/component to prevent cascading failures. It relates to microservices resilience by containing failures within bounded resources. Implementation: Use separate thread pools or connection pools per downstream service (e.g., Resilience4j/Polly bulkheads), or deploy critical vs non-critical workloads on separate node groups/clusters to isolate resource exhaustion.

**AA19** — OT requires a central server to transform concurrent operations, ensuring strong consistency but introducing server dependency and high complexity. CRDTs are mathematical structures that converge automatically without coordination, enabling eventual consistency and local-first editing. OT has higher latency and complexity; CRDTs have lower latency and simpler client logic but require careful CRDT design. For offline editing, choose CRDTs: they support full offline operation, merge seamlessly on reconnect, and eliminate server-side transformation bottlenecks.

**AA20** — Distributed tracing challenges include polyglot instrumentation, high volume, and async flow correlation. Context propagation uses W3C Trace Context or B3 headers injected/extracted in HTTP/gRPC. Sampling: head-based (random, loses context) vs tail-based (sample after processing, preserves full trace, higher storage). Storage/querying uses Jaeger or Tempo (OpenTelemetry-compatible, object storage-backed). For Kafka, propagate trace context in message headers; consumers extract it and create spans with `CONTINUED` relationship. Trace continuity is ensured by OpenTelemetry SDKs that automatically inject/extract context across sync/async boundaries and Kafka producers/consumers.

## On-Premise Infrastructure Architecture

**OP1** — Type 1 (bare-metal) hypervisors run directly on hardware, managing VMs with minimal overhead (e.g., VMware ESXi, Proxmox VE, KVM). Type 2 (hosted) hypervisors run on a host OS, adding overhead and suited for desktop/dev (e.g., VirtualBox, VMware Workstation).

**OP2** — SAN provides block-level storage over a dedicated network, presenting as local disks; ideal for databases/VMs. Uses Fibre Channel or iSCSI. NAS provides file-level storage over IP networks; ideal for file shares/backups. Uses NFS or SMB/CIFS.

**OP3** — 3-tier architecture: Access (edge) → Distribution (policy/aggregation) → Core (high-speed backbone). Leaf-spine is preferred because it’s a flat, all-to-all mesh with predictable latency, non-blocking bandwidth, and east-west traffic optimization. It solves 3-tier bottlenecks at distribution/core layers and eliminates oversubscription in modern virtualized/cloud workloads.

