**Current Table (After Batch 1)**

| Namespace | Deployment | CPU Request | Memory Request | Has Limits? |
| :--- | :--- | :--- | :--- | :--- |
| payments | payments-api | 250m | 512Mi | yes |
| payments | payments-worker | 100m | 256Mi | no |
| payments | fraud-detector | 500m | 1Gi | yes |

**Updated Table (After Batch 2)**

| Namespace | Deployment | CPU Request | Memory Request | Has Limits? |
| :--- | :--- | :--- | :--- | :--- |
| payments | payments-api | 250m | 512Mi | yes |
| payments | payments-worker | 100m | 256Mi | no |
| payments | fraud-detector | 500m | 1Gi | yes |
| notifications | email-sender | 50m | 128Mi | no |
| notifications | sms-gateway | 200m | 512Mi | yes |
| logging | log-aggregator | 1000m | 2Gi | no |
| logging | log-shipper | 100m | 256Mi | yes |

**Final Complete Table (After Batch 3)**

| Namespace | Deployment | CPU Request | Memory Request | Has Limits? |
| :--- | :--- | :--- | :--- | :--- |
| payments | payments-api | 250m | 512Mi | yes |
| payments | payments-worker | 100m | 256Mi | no |
| payments | fraud-detector | 500m | 1Gi | yes |
| notifications | email-sender | 50m | 128Mi | no |
| notifications | sms-gateway | 200m | 512Mi | yes |
| logging | log-aggregator | 1000m | 2Gi | no |
| logging | log-shipper | 100m | 256Mi | yes |
| payments | payments-db-proxy | 300m | 768Mi | yes |
| platform | feature-flags | 50m | 64Mi | no |
| platform | config-service | 100m | 128Mi | yes |

How many deployments are missing limits? 4
Which namespace has the highest total CPU request? payments
