**After Batch 1:**

| Namespace | Deployment | CPU Request | Memory Request | Has Limits? |
|---|---|---|---|---|
| payments | payments-api | 250m | 512Mi | yes |
| payments | payments-worker | 100m | 256Mi | no |
| payments | fraud-detector | 500m | 1Gi | yes |

**After Batch 2:**

| Namespace | Deployment | CPU Request | Memory Request | Has Limits? |
|---|---|---|---|---|
| payments | payments-api | 250m | 512Mi | yes |
| payments | payments-worker | 100m | 256Mi | no |
| payments | fraud-detector | 500m | 1Gi | yes |
| notifications | email-sender | 50m | 128Mi | no |
| notifications | sms-gateway | 200m | 512Mi | yes |
| logging | log-aggregator | 1000m | 2Gi | no |
| logging | log-shipper | 100m | 256Mi | yes |

**After Batch 3 — Final Complete Table:**

| Namespace | Deployment | CPU Request | Memory Request | Has Limits? |
|---|---|---|---|---|
| payments | payments-api | 250m | 512Mi | yes |
| payments | payments-worker | 100m | 256Mi | no |
| payments | fraud-detector | 500m | 1Gi | yes |
| notifications | email-sender | 50m | 128Mi | no |
| notifications | sms-gateway | 200m | 512Mi | yes |
| logging | log-aggregator | 1000m | 2Gi | no |
| logging | log-shipper | 100m | 256Mi | yes |
| payments | payments-db-proxy | 300m | 768Mi | yes |
| platform | feature-flags | 50m | 64Mi | no |
| platform | config-service | 100m | 128Mi | yes |

**Answers:**

1. **Deployments missing limits: 4** — payments-worker (payments), email-sender (notifications), log-aggregator (logging), feature-flags (platform).

2. **Namespace with highest total CPU request: payments** — 1150m total (250m + 100m + 500m + 300m), compared to logging at 1100m, notifications at 250m, and platform at 150m.
