## Application Architecture

**AA1** — Monoliths are single, deployed codebases sharing memory/process space. Microservices are independently deployable, network-communicating services. Microservices introduce: (1) network latency/failure handling, (2) distributed data consistency challenges, (3) operational complexity (orchestration, CI/CD pipelines, distributed tracing).

**AA2** — Synchronous: caller blocks until response arrives (e.g., REST/gRPC over HTTP). Asynchronous: producer sends message, consumer processes later without blocking (e.g., RabbitMQ, Kafka, SQS).

**AA3** — A reverse proxy routes traffic to backends, handles TLS termination, load balancing, and caching at the network/transport layer. An API gateway adds business-level routing, auth, rate limiting, request transformation, and service discovery. An API gateway cannot fully replace a reverse proxy; reverse proxies provide low-level DDoS protection, protocol-agnostic routing, and efficient TLS termination that gateways typically sit behind.

**AA4** — A Saga manages distributed transactions by breaking them into local transactions, each with a compensating action for rollback. Choreography: services publish events and react autonomously (decentralized, low coupling, best for simple/linear flows). Orchestration: a central coordinator directs services (centralized control, best for complex, conditional, or multi-step workflows requiring explicit error handling).

**AA5** — CQRS separates read and write models. Event Sourcing stores state as an immutable sequence of events. They pair naturally: events drive state changes, and CQRS read models project events into optimized schemas. This solves auditability, temporal queries, optimistic locking contention, and complex domain state transitions that traditional CRUD struggles with.

**AA6** — A Circuit Breaker prevents repeated calls to a failing service. States: Closed (normal), Open (fail fast), Half-Open (test recovery). Unlike retry/backoff (which assumes transient failure and waits), the circuit breaker stops traffic entirely after a threshold to prevent cascade/fatigue. Use both: circuit breaker halts traffic to a failing service; retry/backoff handles successful calls or validates recovery in half-open state.

**AA7** — 
1. Shared DB/schema: Lowest cost, highest noisy-neighbor risk, complex row-level security, low ops overhead.
2. Shared DB/separate schema: Moderate cost, better isolation/noisy-neighbor mitigation, moderate ops overhead (schema migrations).
3. Separate DB/tenant: Highest cost, best isolation/security, lowest noisy-neighbor risk, high ops overhead (backup, scaling, maintenance per tenant).

**AA8** — Eventual consistency: updates propagate over time; reads may be stale. Strong consistency: immediate visibility across replicas. For zero oversell: use strong/linearizable consistency. Data store: Distributed SQL (CockroachDB, Spanner) or RDBMS with row-level locking. Patterns: optimistic concurrency control (version columns), reservation/hold with TTLs, or serializable transaction queues for inventory updates. Partition by SKU/warehouse to scale.

**AA9** — A sidecar proxy co-locates with a service to intercept all traffic. In Istio, Envoy handles the data plane (routing, mTLS, observability); Istio control plane (Pilot, Citadel) pushes config and manages certs. mTLS between sidecars solves transparent service-to-service authentication, automatic cert rotation, and uniform mesh security without application code changes, unlike app-level TLS which requires manual integration and doesn't secure internal mesh traffic uniformly.

**AA10** — The Strangler Fig pattern incrementally replaces legacy functionality by routing traffic to new services while keeping the legacy system operational. Strategy: Deploy an API gateway. Route specific endpoints/features to new .NET 8 microservices. Migrate module-by-module (e.g., auth, billing). Keep shared DB initially or migrate data incrementally. Update gateway routing as new services stabilize. Decommission legacy routes once fully replaced.

**AA11** — 12-Factor App is a cloud-native design methodology. Six factors: (1) Codebase (one repo, many deploys), (2) Dependencies (explicitly declare), (3) Config (env vars, not code), (4) Backing services (treat as attached resources), (5) Build/release/run (strictly separate stages), (6) Processes (stateless, scale via processes). They matter for portability, secure config management, predictable deployments, and horizontal scalability in cloud environments.

**AA12** — 
- Coupling: Event-driven = loose; Request-driven = tight.
- Scalability: Event-driven = highly scalable async; Request-driven = synchronous limits.
- Debugging: Event-driven = harder (distributed events, replay needed); Request-driven = easier (request/response tracing).
- Ordering: Event-driven = partition/key-based guaranteed; Request-driven = per-request order irrelevant.
- Failure: Event-driven = durable queues, DLQs, retries; Request-driven = timeouts, circuit breakers, retries.
- Choose event-driven for async workflows, high throughput, decoupled systems. Choose request-driven for real-time APIs, CRUD, strict latency, simple flows.

**AA13** — A load balancer distributes traffic across backend servers. Layer 4 routes based on IP/port (TCP/UDP). Layer 7 routes based on HTTP headers, URLs, cookies, content. Layer 7 is required for content-based routing (e.g., `/api/v1` → service A, `/api/v2` → service B) or SSL termination.

**AA14** — Message queues (RabbitMQ) consume and remove messages, support complex routing/exchanges, ideal for task queues and reliable delivery. Log-based brokers (Kafka) retain messages, support multiple consumers reading at own pace, ideal for event streaming, replay, and high throughput. Pick RabbitMQ for task queues/low latency; Kafka for event streaming/analytics/replay.

**AA15** — Containers share the host OS kernel and isolate processes/filesystems; VMs run a full guest OS under a hypervisor. Containers are lightweight, fast-starting, and provide consistent environments, making them ideal for microservices' need for rapid, independent, immutable deployments.

**AA16** — Stateless services have no local session data; each request is independent. Stateful services maintain local state. Stateless services scale horizontally easily because instances can be added/removed without session migration or data sync. Examples: Stateless (Nginx, REST API), Stateful (PostgreSQL, Redis, in-memory WebSocket server).

**AA17** — An ORM maps objects to DB tables, abstracting SQL. Examples: Entity Framework (.NET), Hibernate (Java), SQLAlchemy (Python). Trade-offs: ORM accelerates dev, ensures safety/portability, but can generate inefficient queries and leaks abstraction for complex SQL. Raw SQL offers full performance control and optimization but requires more code, DB-specific tuning, and slower development.

**AA18** — The Bulkhead pattern isolates resources (threads, connections, pools) so failure in one component doesn't exhaust resources for others. Implementation: Use separate thread pools per service/endpoint (e.g., `pool_orders`, `pool_inventory`). Or deploy critical vs non-critical services on separate Kubernetes node pools with resource quotas and network policies.

**AA19** — OT: Central server coordinates and transforms concurrent edits. Strong consistency, low storage, complex server logic, requires online coordination. CRDTs: Data structures merge automatically without coordination. Eventual consistency, higher structural complexity, excellent offline support, peer-to-peer capable. For offline editing, choose CRDTs: they guarantee convergence without a central server, handle offline edits seamlessly, and resolve conflicts deterministically.

**AA20** — Challenges: polyglot stacks, network hops, async boundaries, overhead. Context propagation: W3C Trace Context (standard) or B3 (Zipkin); inject/extract trace IDs across HTTP/gRPC. Sampling: head-based (random, cheap, loses context) vs tail-based (sample after processing, accurate, high overhead). Storage/querying: Jaeger (OpenTelemetry) or Tempo (Grafana, cheap object storage); index spans, query by trace ID/service. Async/Kafka: serialize trace context into message headers; consumers extract and continue the trace. Ensure continuity by using OpenTelemetry propagators for Kafka and configuring interceptors to inject/extract context on produce/consume.

## On-Premise Infrastructure Architecture

**OP1** — Type 1 (bare-metal) runs directly on hardware; examples: VMware ESXi, Proxmox VE, KVM. Type 2 (hosted) runs as an app on a host OS; examples: VirtualBox, VMware Workstation. Type 1 offers better performance/security for production; Type 2 is for dev/testing.

