| Namespace | Deployment | CPU Request | Memory Request | Has Limits? (yes/no) |
| :--- | :--- | :--- | :--- | :--- |
| payments | payments-api | 250m | 512Mi | yes |
| payments | payments-worker | 100m | 256Mi | no |
| payments | fraud-detector | 500m | 1Gi | yes |

***

| Namespace | Deployment | CPU Request | Memory Request | Has Limits? (yes/no) |
| :--- | :--- | :--- | :--- | :--- |
| payments | payments-api | 250m | 512Mi | yes |
| payments | payments-worker | 100m | 256Mi | no |
| payments | fraud-detector | 500m | 1Gi | yes |
| notifications | email-sender | 50m | 128Mi | no |
| notifications | sms-gateway | 200m | 512Mi | yes |
| logging | log-
