[19:51:52] GPU: 0, 8, 46, 22.44, 14446
1, 13, 40, 19.71, 14446
[19:52:23] GPU: 0, 34, 51, 50.88, 14446
1, 99, 46, 50.38, 14446
[19:52:55] GPU: 0, 99, 55, 54.34, 14446
1, 31, 49, 48.15, 14446
[19:53:26] GPU: 0, 99, 58, 55.55, 14446
1, 29, 52, 49.05, 14446
[19:53:57] GPU: 0, 32, 60, 53.33, 14446
1, 99, 50, 52.04, 14446
[19:54:29] GPU: 0, 33, 62, 55.16, 14446
1, 99, 48, 52.54, 14446
[19:55:00] GPU: 0, 32, 63, 55.83, 14446
1, 99, 46, 51.89, 14446
[19:55:32] GPU: 0, 35, 65, 57.58, 14446
1, 99, 46, 52.63, 14446
[19:56:03] GPU: 0, 35, 67, 58.62, 14446
1, 99, 46, 52.55, 14446
[19:56:35] GPU: 0, 37, 69, 60.26, 14446
1, 99, 46, 53.43, 14446
[19:57:06] GPU: 0, 99, 71, 63.77, 14446
1, 33, 46, 49.85, 14446
[19:57:37] GPU: 0, 35, 72, 61.25, 14446
1, 99, 46, 53.28, 14446
[19:58:08] GPU: 0, 32, 73, 62.67, 14446
1, 99, 47, 53.89, 14446
[19:58:39] GPU: 0, 36, 74, 64.24, 14446
1, 99, 47, 54.15, 14446
[19:59:11] GPU: 0, 100, 81, 94.52, 14446
1, 100, 55, 79.25, 14446
[19:59:42] GPU: 0, 99, 78, 66.43, 14448
1, 27, 47, 48.29, 14448
[20:00:14] GPU: 0, 99, 80, 67.14, 14448
1, 32, 47, 48.85, 14448
[20:00:45] GPU: 0, 34, 80, 65.68, 14448
1, 99, 47, 52.94, 14448
[20:01:17] GPU: 0, 34, 81, 65.64, 14448
1, 99, 48, 52.45, 14448
[20:01:48] GPU: 0, 34, 82, 66.52, 14448
1, 99, 48, 53.15, 14448
[20:02:20] GPU: 0, 99, 83, 70.68, 14448
1, 32, 48, 49.91, 14448
[20:02:51] GPU: 0, 30, 83, 64.71, 14448
1, 99, 48, 50.28, 14448
