**Role Enumeration Check**

1.  **base-hardening**
    *   Found in: `site.yml`, `k8s-cluster.yml`, `vpn.yml`
    *   Status: Used

2.  **docker-install**
    *   Found in: `site.yml`, `k8s-cluster.yml`
    *   Status: Used

3.  **k8s-node**
    *   Found in: `k8s-cluster.yml`
    *   Status: Used

4.  **nfs-client**
    *   Found in: None
    *   Status: Unused

5.  **prometheus-node**
    *   Found in: `monitoring.yml`
    *   Status: Used

6.  **grafana**
    *   Found in: `monitoring.yml`
    *   Status: Used

7.  **loki**
    *   Found in: `monitoring.yml`
    *   Status: Used

8.  **nginx-proxy**
    *   Found in: `site.yml`
    *   Status: Used

9.  **postgres**
    *   Found in: `database.yml`
    *   Status: Used

10. **redis**
    *   Found in: `database.yml`
    *   Status: Used

11. **vault**
    *   Found in: None
    *   Status: Unused

12. **wireguard**
    *   Found in: `vpn.yml`
    *   Status: Used

**Unused Roles**

*   nfs-client
*   vault
