## Application Architecture

**AA1** — **Monolith:** A single, unified codebase and deployment unit. **Microservices:** A collection of small, independent services communicating over a network. **Problems:** 1. Distributed tracing/debugging complexity. 2. Network latency and partial failure handling. 3. Data consistency (managing distributed transactions).

**AA2** — **Synchronous:** The caller waits for a response (e.g., REST/gRPC). **Asynchronous:** The caller sends a message and continues processing without waiting for an immediate result (e.g., RabbitMQ/Kafka).

**AA3** — **Reverse Proxy:** Focuses on routing, load balancing, and SSL termination. **API Gateway:** A specialized reverse proxy that adds "business" logic: authentication, rate limiting, request transformation, and API orchestration. A Gateway can replace a proxy, but a simple proxy is often more performant for basic routing.

**AA4** — **Saga Pattern:** Manages distributed transactions via a sequence of local transactions with compensating actions for failures. **Choreography:** Services exchange events; no central coordinator (decentralized). **Orchestration:** A central "orchestrator" tells services when to act. **Use:** Choreography for simple workflows; Orchestration for complex, multi-step business processes.

**AA5** — **CQRS:** Separates the model for updating data (Command) from the model for reading data (Query). **Event Sourcing:** Stores state as a sequence of immutable events rather than current state. **Problem solved:** Traditional CRUD struggles with complex read requirements and audit trails; this combination allows highly optimized read views and a perfect history of every change.

**AA6** — **Circuit Breaker:** Prevents a service from repeatedly calling a failing downstream service. **States:** Closed (Normal), Open (Fail fast), Half-Open (Testing if service recovered). **Vs Retry:** Retries handle transient blips; Circuit Breakers handle systemic failure. Use both: Retry for a few attempts, then trip the circuit if failure persists.

**AA7** — 
1. **Shared DB/Schema:** Lowest cost, lowest security (logical isolation only), high noisy-neighbor risk.
2. **Shared DB/Sep Schema:** Mid cost, better security (schema-level permissions), mid noisy-neighbor risk.
3. **Sep DB:** Highest cost, highest security (physical isolation), lowest noisy-neighbor risk.

**AA8** — **Eventual:** Nodes will eventually agree, but may be out of sync temporarily. **Strong:** All nodes see the same data immediately. **Inventory System:** Use **Strong Consistency**. Use a relational database (Postgres) with ACID transactions or a distributed lock (Redis/Etcd) to ensure atomic decrements of stock.

**AA9** — **Sidecar:** A helper container running alongside the app. **Envoy:** The data plane (handles actual traffic). **Control Plane (Istio):** Manages configuration and policy. **mTLS:** Provides identity-based encryption and authentication between services, removing the need for the application to manage certificates manually.

**AA10** — **Strangler Fig:** Gradually replacing a monolith by wrapping it in a proxy. **Strategy:** 1. Place a proxy (Nginx/Gateway) in front of the .NET Framework monolith. 2. Build a new .NET 8 service for one specific feature. 3. Route traffic for that feature to the new service. 4. Repeat until the monolith is an empty shell.

**AA11** — **12-Factor App:** A set of cloud-native best practices. **Factors:** 1. Codebase (one repo), 2. Dependencies (explicitly declared), 3. Config (stored in environment), 4. Backing services (treated as attached resources), 5. Port binding (self-contained), 6. Stateless processes (scale horizontally).

**AA12** — **Event-driven (Kafka):** Loosely coupled, highly scalable, complex debugging, guaranteed ordering per partition, failure handled via offsets. **Request-driven (REST):** Tightly coupled, simpler debugging, synchronous, failure handled via timeouts. **Choice:** Kafka for high-throughput streams/async workflows; REST for immediate request-response needs.

**AA13** — **Load Balancer:** Distributes traffic across servers. **L4:** Operates at Transport layer (TCP/UDP), routes by IP/Port. **L7:** Operates at Application layer (HTTP), routes by URL, headers, or cookies. **L7 Use Case:** Routing `/api/users` to one service and `/api/orders` to another.

**AA14** — **Message Queue:** A buffer for messages. **RabbitMQ (Queue):** Messages are deleted after consumption. **Kafka (Log):** Messages are persisted in a log and can be replayed. **Choice:** RabbitMQ for task queues/work distribution; Kafka for event streaming and audit logs.

**AA15** — **Container:** Shares the host OS kernel, packaging only the app and dependencies. **VM:** Includes a full guest OS and runs on a hypervisor. **Popularity:** Containers are faster to start, use fewer resources, and ensure "it works on my machine" consistency.

**AA16** — **Stateless:** Does not store client data between requests (e.g., a calculator API). **Stateful:** Remembers client state (e.g., a legacy session-based shopping cart). **Scaling:** Stateless is easier because any instance can handle any request without needing session synchronization.

**AA17** — **ORM:** Maps code objects to database tables (e.g., Hibernate for Java, Entity Framework for .NET). **Trade-offs:** Productivity and abstraction vs. performance overhead and "leaky abstractions" where complex queries become inefficient.

**AA18** — **Bulkhead:** Isolating resources to prevent a failure in one area from taking down the whole system. **Implementation:** Use separate thread pools for different downstream services so that if Service A hangs, it doesn't exhaust all threads, allowing Service B to continue functioning.

**AA19** — **OT:** Central server resolves conflicts by transforming operations. **CRDTs:** Data structures that merge mathematically without conflicts. **Comparison:** OT has higher latency/complexity; CRDTs support offline editing better because they don't require a central coordinator to resolve merges. **Choice:** CRDTs for offline support.

**AA20** — **Challenges:** Passing a Trace ID across polyglot services. **Context:** W3C Trace Context is the standard header. **Sampling:** Head-based (decide at start) vs Tail-based (decide after seeing the whole trace). **Kafka:** Inject the trace context into the Kafka message headers to maintain continuity across the async boundary.

---

## On-Premise Infrastructure Architecture

**OP1** — **Type 1 (Bare-metal):** Runs directly on hardware (ESXi, Xen). **Type 2 (Hosted):** Runs on top of an OS (VirtualBox, VMware Workstation).

**OP2** — **SAN (Storage Area Network):** Block-level storage, high performance, uses iSCSI or Fibre Channel. **NAS (Network Attached Storage):** File-level storage, easier sharing, uses NFS or SMB. Use SAN for databases; NAS for shared file folders.

**OP3** — **3-Tier:** Core $\rightarrow$ Distribution $\rightarrow$ Access. **Leaf-Spine:** Every leaf switch connects to every spine switch. **Problem solved:** Eliminates Spanning Tree Protocol (STP) bottlenecks and provides predictable, low-latency "east-west" traffic flow.

