## Application Architecture

**AA1** — Monoliths are single-unit deployments where all business logic resides in one codebase/process. Microservices decompose the app into small, independent services communicating over a network. **Problems:** 1. Network latency/reliability (distributed system overhead), 2. Data consistency (distributed transactions), 3. Operational complexity (deployment, monitoring, and logging across N services).

**AA2** — **Synchronous:** Client sends a request and waits for a response (blocking). Example: REST/HTTP. **Asynchronous:** Client sends a message and continues processing without waiting for an immediate result (non-blocking). Example: RabbitMQ/Kafka.

**AA3** — A **Reverse Proxy** (e.g., Nginx) handles load balancing, SSL termination, and routing. An **API Gateway** (e.g., Kong, AWS API Gateway) is a specialized reverse proxy that adds "API-aware" features: rate limiting, authentication, request transformation, and billing. It cannot replace a reverse proxy because it *is* one, but a simple reverse proxy cannot replace a gateway's business-logic capabilities.

**AA4** — The **Saga pattern** manages distributed transactions by breaking them into a sequence of local transactions. If one fails, "compensating transactions" undo previous steps. **Choreography:** Services exchange events; no central coordinator. Best for simple workflows. **Orchestration:** A central "orchestrator" tells services when to act. Best for complex workflows with many steps.

**AA5** — **CQRS** separates the data model for writing (Commands) from the model for reading (Queries). It is paired with **Event Sourcing** (storing state as a sequence of events) because the event log serves as the "write" side, and "read" projections are built from that log. This solves the problem of complex join queries on highly normalized write-databases and provides a perfect audit trail.

**AA6** — **Circuit Breaker** prevents a service from repeatedly trying to call a failing downstream service. **States:** 1. Closed (requests flow), 2. Open (requests fail immediately), 3. Half-Open (test requests allowed). **Difference:** Retries with backoff try again; Circuit Breakers stop trying entirely for a period. Use both: Retry for transient blips; Circuit Breaker for systemic failure.

**AA7** — 
1. **Shared DB/Schema:** Lowest cost, highest noisy-neighbor risk, lowest security (relies on `WHERE tenant_id = X`).
2. **Shared DB/Separate Schema:** Medium cost, medium security (schema-level permissions), medium complexity.
3. **Separate DB:** Highest cost, highest security (physical isolation), highest operational complexity (migrations across N DBs), lowest noisy-neighbor risk.

**AA8** — **Strong Consistency:** All reads return the most recent write. **Eventual Consistency:** Reads will eventually converge, but may return stale data. **Inventory System:** Use **Strong Consistency**. Architect with a distributed SQL DB (e.g., CockroachDB) or a RDBMS with pessimistic locking/ACID transactions. Use the **Reservation Pattern** (temporarily hold item in Redis/DB) to prevent overselling at scale.

**AA9** — A **Sidecar** is a helper container running alongside the app container in the same pod. **Envoy** handles the actual network traffic (Data Plane), while **Istio** manages the configuration/policies (Control Plane). **mTLS** solves the "trust" problem: it ensures identity and encryption between services without the application needing to manage certificates or trust stores manually.

**AA10** — **Strangler Fig** involves wrapping a legacy system with a proxy and incrementally replacing functionality with new services. **Strategy:** 1. Place an API Gateway/Proxy in front of the .NET Framework monolith. 2. Identify a small bounded context (e.g., "Billing"). 3. Build "Billing" in .NET 8. 4. Route "Billing" traffic to the new service via the proxy. 5. Repeat until the monolith is an empty shell.

**AA11** — **12-Factor App:** A methodology for cloud-native apps. Factors: 1. Codebase (one version control), 2. Dependencies (explicitly declared), 3. Config (stored in environment), 4. Backing services (treated as attached resources), 5. Build/Release/Run (strictly separated), 6. Processes (stateless). These ensure portability, scalability, and automation.

**AA12** — 
- **Coupling:** Event-driven (Loose); Request-driven (Tight).
- **Scalability:** Event-driven (High, async); Request-driven (Limited by synchronous chains).
- **Debugging:** Event-driven (Hard, distributed traces needed); Request-driven (Easier, stack traces).
- **Ordering:** Event-driven (Guaranteed per partition in Kafka); Request-driven (Sequential by nature).
- **Failure:** Event-driven (Retries via DLQs); Request-driven (Immediate error/timeout).
**Choice:** Use Request-driven for immediate feedback (UI); Event-driven for background processing/integration.

**AA13** — A **Load Balancer** distributes traffic across multiple servers. **L4 (Transport):** Routes based on IP/Port (TCP/UDP). **L7 (Application):** Routes based on content (HTTP headers, URL paths, Cookies). **Use Case:** Routing `/api/users` to one service and `/api/orders` to another.

**AA14** — A **Message Queue** (RabbitMQ) is designed for "point-to-point" delivery; once a message is consumed, it's gone. A **Log-based Broker** (Kafka) is an append-only log; messages persist and can be replayed by multiple consumers. **Pick RabbitMQ** for task queues; **Pick Kafka** for event streaming and high-throughput data pipelines.

**AA15** — A **Container** shares the host OS kernel and isolates the application process. A **VM** includes a full guest OS and runs on a hypervisor. Containers are popular because they are lightweight, start in seconds, and ensure "it works on my machine" consistency across environments.

**AA16** — **Stateless:** Does not store client data between requests (e.g., a JWT-based Auth API). **Stateful:** Remembers previous interactions (e.g., a legacy session-based FTP server). Stateless services scale horizontally because any instance can handle any request.

**AA17** — An **ORM** maps database tables to objects in code. Examples: Entity Framework (.NET), Hibernate (Java). **Trade-offs:** ORMs increase developer productivity and prevent SQL injection; however, they can produce inefficient queries ("N+1 problem") and hide the underlying DB performance characteristics.

**AA18** — **Bulkhead** isolates elements into pools so that if one fails, the others continue. **Implementation:** 1. **Thread Pools:** Assign a dedicated thread pool to each downstream service call so one slow service doesn't exhaust all app threads. 2. **Deployment Groups:** Deploy "Critical" and "Non-Critical" services on separate hardware clusters.

**AA19** — **OT** requires a central server to transform operations to maintain consistency. **CRDTs** are data structures that merge automatically without a central coordinator. **Comparison:** OT has lower latency for small groups but high complexity; CRDTs are more complex to implement but support offline editing perfectly. **Choice:** CRDTs for offline support, as they allow local mutations that merge deterministically upon reconnection.

**AA20** — **Challenges:** Maintaining a `trace_id` across different languages and async boundaries. **Context Propagation:** Using headers (W3C Trace Context) to pass IDs. **Sampling:** Head-based (decide at start) vs Tail-based (decide after seeing the whole trace). **Kafka Continuity:** Inject the trace context into the Kafka **Message Header**. The consumer extracts this header to start a new span linked to the producer's span.

---

## On-Premise Infrastructure Architecture

**OP1** — **Type 1 (Bare-metal):** Runs directly on hardware. Examples: VMware ESXi, Proxmox (KVM). **Type 2 (Hosted):** Runs as an app on an OS. Examples: Oracle VirtualBox, VMware Workstation.

**OP2** — **SAN (Storage Area Network):** Block-level storage (looks like a local disk). Protocols: Fibre Channel, iSCSI. Use for DBs/VMs. **NAS (Network Attached Storage):** File-level storage (shared folder). Protocols: NFS, SMB/CIFS. Use for shared documents/backups.

**OP3** — **3-Tier:** Core (routing), Distribution (policy/VLANs), Access (device connection). **Leaf-Spine:** Every Leaf switch connects to every Spine switch. It solves the "East-West" traffic bottleneck and eliminates Spanning Tree Protocol (STP) blocking, providing predictable latency and linear scalability.

