The user wants me to answer 60 technical questions covering JavaScript/TypeScript, Bash, and PowerShell.
I need to act as a senior infrastructure and software engineer.
The answers must be labeled with the question ID (e.g., JS1, B5, PS12).
I need to be thorough but concise.

**Plan:**
1.  **JavaScript/TypeScript (20 questions):**
    *   JS1: var/let/const, hoisting.
    *   JS2: Event loop, call stack, microtask/macro queue.
    *   JS3: Closures, example, for loop bug.
    *   JS4: Promise, async/await, error handling, Promise.all vs allSettled.
    *   JS5: Interface vs Type, discriminated unions.
    *   JS6: Prototypal inheritance, Object.create, ES6 classes.
    *   JS7: `this` binding rules, bind return value.
    *   JS8: WeakRef, FinalizationRegistry, WeakMap keys.
    *   JS9: V8 optimization (hidden classes, inline caching, deoptimization).
    *   JS10: Tree-shaking, ES modules vs CommonJS.
    *   JS11: null vs undefined, == vs ===, nullish coalescing, optional chaining.
    *   JS12: Array methods (map, filter, reduce), flatMap.
    *   JS13: Template literals, tagged templates.
    *   JS14: Destructuring, rest operator.
    *   JS15: for...in vs for...of.
    *   JS16: Generics, constraints, conditional types, infer.
    *   JS17: Module systems (CommonJS vs ES Modules), `type: "module"`.
    *   JS18: Structural typing, excess property checks, satisfies, variance.
    *   JS19: Proxy, Reflect, interception.
    *   JS20: SharedArrayBuffer, Atomics, Web Workers.

2.  **Bash (20 questions):**
    *   B1: $@ vs $*, quoting.
    *   B2: `set -euo pipefail`.
    *   B3: Command substitution, arithmetic expansion.
    *   B4: Process substitution.
    *   B5: Iterating files safely, `for f in $(ls)`.
    *   B6: Here document vs here string.
    *   B7: Redirections (`cmd > file 2>&1` vs `cmd 2>&1 > file`).
    *   B8: Lock file function (mkdir, cleanup).
    *   B9: Quotes (single, double, none).
    *   B10: File checks, `[ ]` vs `[[ ]]`.
    *   B11: $? (exit), $$ (pid), $! (bg pid), $# (args).
    *   B12: Functions, return values.
    *   B13: PATH, builtins vs external.
    *   B14: `trap`, cleanup handlers.
    *   B15: xargs vs command substitution, `-0`, `-P`.
    *   B16: Arrays, associative arrays.
    *   B17: Subshell vs group command, variable scope.
    *   B18: Signals (SIGINT, SIGTERM, SIGHUP, SIGKILL).
    *   B19: Parallel log processing script.
    *   B20: `exec`, file descriptors, coprocess.

3.  **PowerShell (20 questions):**
    *   PS1: Write-Output vs Write-Host.
    *   PS2: Pipeline, ForEach-Object vs foreach.
    *   PS3: PSCustomObject vs Hashtable.
    *   PS4: Error handling (terminating vs non-terminating).
    *   PS5: Splatting.
    *   PS6: Remoting (Invoke-Command vs Enter-PSSession).
    *   PS7: Type system, pipeline implicit behavior (returning arrays).
    *   PS8: Scriptblock vs function, double-hop.
    *   PS9: @() vs [array], forcing single result.
    *   PS10: Comparison operators.
    *   PS11: Modules (.psm1, .psd1, binary).
    *   PS12: String interpolation, here-strings.
    *   PS13: Get-Member, Select-Object vs Where-Object.
    *   PS14: PowerShell classes.
    *   PS15: CmdletBinding, advanced functions.
    *   PS16: Providers.
    *   PS17: Runspaces, thread safety.
    *   PS18: PSScriptAnalyzer.
    *   PS19: `$using:` scope, serialization.
    *   PS20: DSC.

**Drafting the content:**

*   **JS1:** `var` is function-scoped and hoisted (undefined). `let` and `const` are block-scoped. `const` cannot be reassigned. Hoisting moves declarations to top, but initialization remains.
*   **JS2:** Event loop handles async. Stack runs synchronously. Microtasks (Promises, queueMicrotask) run before next macro task (setTimeout, I/O). Macrotasks run after microtasks.
*   **JS3:** Closure = function + lexical scope. Example: counter. Bug: loop variable captured by reference. Fix: `let` or IIFE.
*   **JS4:** Promise is a state machine. async/await is syntactic sugar for Promises. Error handling: try/catch for async, .catch() for Promise. `Promise.all` fails fast on rejection. `Promise.allSettled` waits for all and returns status.
*   **JS5:** Interface defines shape, structural. Type can be primitives, unions, intersections. Discriminated unions use a common property to narrow types.
*   **JS6:** Objects inherit from prototypes. `Object.create(proto)` creates object with specific prototype. ES6 classes are syntactic sugar over prototypes but provide cleaner syntax.
*   **JS7:** `this` binding: Implicit Global, Implicit Object, Explicit Call, New. `bind` returns a *new* function, so it can be re-bound.
*   **JS8:** `WeakRef` allows garbage collection even if ref exists. `FinalizationRegistry` runs callback when GC collects. `WeakMap` keys must be objects to allow GC.
*   **JS9:** V8 uses hidden classes (inline caches) for property access. Deoptimization happens when assumptions (e.g., hidden class transitions) are violated (e.g., adding properties out of order).
*   **JS10:** Tree-shaking removes unused code. ES modules are static, enabling this. CommonJS is dynamic, requiring runtime analysis, making it hard.
*   **JS11:** `null` is an object, `undefined` is primitive. `==` coerces types, `===` strict. `??` checks for null/undefined. `?.` safely accesses properties.
*   **JS12:** `map` transforms, `filter` selects, `reduce` accumulates. `reduce` takes initial value. `flatMap` maps then flattens one level.
*   **JS13:** Template literals use backticks. Tagged templates parse string parts as arguments. Example: `html` tag for escaping.
*   **JS14:** Destructuring extracts values. `{a}` vs `[a]`. Defaults `{a=1}`. Renaming `{a: b}`. Rest `...rest` collects remaining.
*   **JS15:** `for...in` iterates keys (strings). `for...of` iterates values. `for...in` on arrays is bad because it iterates indices and prototype keys.
*   **JS16:** Generics `<T>`. Constraints `T extends Interface`. Conditional `T extends U ? X : Y`. `infer` extracts types inside generics.
*   **JS17:** CommonJS: `require` (sync), `module.exports`. ES Modules: `import`/`export` (async/deferred). `type: "module"` forces ES modules in Node.
*   **JS18:** Structural typing (duck typing). Excess property checks happen when assigning literal to variable expecting interface. `satisfies` checks type but preserves literal type. Variance: `in` (covariant), `out` (contravariant).
*   **JS19:** Proxy intercepts operations. `Reflect` mirrors default behavior. Example: Validation proxy.
*   **JS20:** SharedArrayBuffer allows shared memory between threads. Atomics provides atomic ops and wait/notify. Used in Web Workers for high performance.

*   **B1:** `$@` preserves args and quotes. `$*` joins them. `"$@"` is safe for loops. `"$*"` is one string.
*   **B2:** `-e` exit on error, `-u` unset var error, `-o pipefail` pipe fails if any cmd fails.
*   **B3:** `$(...)` is command substitution. `` `...` `` is old style. `$((...))` is arithmetic. `expr` is external command.
*   **B4:** Process substitution creates temp files/fifos. Used with diff to compare outputs of two commands.
*   **B5:** `for f in *` is safe. `for f in $(ls)` splits on whitespace/newlines, breaking filenames.
*   **B6:** Here doc `<<EOF` multi-line string. Here string `<<<` single line string. `<<-EOF` strips leading tabs.
*   **B7:** `cmd > file 2>&1` redirects stdout to file, stderr to stdout (file). `cmd 2>&1 > file` redirects stderr to current stdout (terminal), stdout to file. `&>` redirects both to file.
*   **B8:** Function using `mkdir -p /tmp/lock` and `trap "rm -rf /tmp/lock" EXIT`. Race condition: check if exists, then create. `mkdir` is atomic.
*   **B9:** Single quotes: literal. Double quotes: variable expansion. No quotes: word splitting/globbing.
*   **B10:** `[ -f file ]` exists/is file. `[[ -f file ]]` supports regex and `&&`/`||`.
*   **B11:** `?`: last exit code. `$$`: pid. `!`: last bg pid. `#`: arg count.
*   **B12:** `function foo {}` or `foo() {}`. Return is exit code. Can't return strings directly (use stdout or global var).
*   **B13:** PATH: list of dirs. Builtins are internal (cd, echo). External are binaries. `type command`.
*   **B14:** `trap 'cmd' SIGINT`. Cleanup on exit. Order: signals handled immediately, EXIT runs last.
*   **B15:** `xargs` builds command lines. `$(...)` is slower for many args. `-0` handles nulls. `-P` parallel.
*   **B16:** Arrays: `arr=(a b)`. Assoc: `declare -A map=(["k"]=v)`. Iterate with loops.
*   **B17:** `(...)` subshell: vars local, exit code of last cmd. `{ ...; }` group: same shell, exit code of last cmd. Pipe loses vars because subshell.
*   **B18:** SIGINT (Ctrl+C), SIGTERM (kill), SIGHUP (logout), SIGKILL (can't catch). Graceful shutdown: trap SIGTERM, kill children.
*   **B19:** Script: `split -l 1000 log.txt`, `xargs -P 4 -I {} ./process.sh {}`. Merge results. Trade-off: overhead vs speed. Error propagation: check exit codes.
*   **B20:** `exec` replaces shell. FD manipulation: `exec 3>file`. Coprocess: `coproc` keyword or `&`.

*   **PS1:** `Write-Output` adds to pipeline. `Write-Host` writes to console directly (no pipeline). Matters for piping.
*   **PS2:** Pipeline passes objects. `ForEach-Object` is cmdlet (pipeline aware). `foreach` is language statement (iterates in memory).
*   **PS3:** `[PSCustomObject]` is a PS object. `[hashtable]` is a dictionary. Convert with `@{}` or `ConvertTo-Object`.
*   **PS4:** Terminating errors stop script. Non-terminating continue. `-ErrorAction` overrides `$ErrorActionPreference`. `try/catch` catches terminating.
*   **PS5:** Splatting passes hashtable as separate args. `@params` expands it.
*   **PS6:** `Invoke-Command` runs scriptblocks on remote. `Enter-PSSession` interactive. WinRM/SSH.
*   **PS7:** Pipeline returns arrays. `Get-Items` returns `@("one")`. `GetType().Name` is `Object[]`. Correct pattern: `@($result)` or `return $result` (which is already array).
*   **PS8:** Scriptblock is code string. Function is compiled. Double-hop: passing creds across remoting. CredSSP or `-ArgumentList`.
*   **PS9:** `@()` creates array. `[array]` is .NET array. Force single: `@($single)`. Indexing `$null` throws error.
*   **PS10:** `-eq` (equal), `-contains` (exists), `-in` (exists in list). Case sensitive variants.
